.smooth,.estimate,.se,name,x_value
s(gam_age_offdiag_2),-24.56944351133002,2.504776073477465,offdiag_2,2727.2727272727275
s(gam_age_offdiag_2),-26.647770761841098,2.716402728633478,offdiag_2,2828.282828282828
s(gam_age_offdiag_2),-28.72609808141314,2.9280319088370605,offdiag_2,2929.2929292929293
s(gam_age_offdiag_2),-30.804425413108486,3.139663222030661,offdiag_2,3030.3030303030305
s(gam_age_offdiag_2),-32.882752675455954,3.351296360390653,offdiag_2,3131.313131313131
s(gam_age_offdiag_2),-34.96107976812915,3.562931069231974,offdiag_2,3232.3232323232323
s(gam_age_offdiag_2),-37.03940657883577,3.774567127597419,offdiag_2,3333.3333333333335
s(gam_age_offdiag_2),-39.11773299094687,3.9862043366889974,offdiag_2,3434.343434343434
s(gam_age_offdiag_2),-41.19605889131186,4.197842513656193,offdiag_2,3535.3535353535353
s(gam_age_offdiag_2),-43.274384177733474,4.409481489024231,offdiag_2,3636.3636363636365
s(gam_age_offdiag_2),-45.35270876561637,4.62112110646733,offdiag_2,3737.373737373737
s(gam_age_offdiag_2),-47.43103259339583,4.832761223918843,offdiag_2,3838.3838383838383
s(gam_age_offdiag_2),-49.5093556266335,5.044401715321647,offdiag_2,3939.3939393939395
s(gam_age_offdiag_2),-51.58767786054779,5.256042472544571,offdiag_2,4040.4040404040406
s(gam_age_offdiag_2),-53.665999320190124,5.467683406726725,offdiag_2,4141.414141414141
s(gam_age_offdiag_2),-55.74432005886681,5.679324448929185,offdiag_2,4242.424242424242
s(gam_age_offdiag_2),-57.82264015506152,5.890965550106022,offdiag_2,4343.434343434344
s(gam_age_offdiag_2),-59.90095970825861,6.102606680736955,offdiag_2,4444.444444444444
s(gam_age_offdiag_2),-61.979278832961334,6.3142478297109665,offdiag_2,4545.454545454545
s(gam_age_offdiag_2),-64.05759765166336,6.525889002177106,offdiag_2,4646.464646464647
s(gam_age_offdiag_2),-66.1359162882512,6.7375302173841005,offdiag_2,4747.474747474747
s(gam_age_offdiag_2),-68.21423486116274,6.949171506595069,offdiag_2,4848.484848484848
s(gam_age_offdiag_2),-70.29255347595787,7.160812910290054,offdiag_2,4949.49494949495
s(gam_age_offdiag_2),-72.37087222001347,7.372454474963502,offdiag_2,5050.50505050505
s(gam_age_offdiag_2),-74.44919115848211,7.584096250530727,offdiag_2,5151.515151515152
s(gam_age_offdiag_2),-76.52751032930682,7.795738287371784,offdiag_2,5252.525252525253
s(gam_age_offdiag_2),-78.60582974187105,8.007380633213351,offdiag_2,5353.535353535353
s(gam_age_offdiag_2),-80.68414937801221,8.219023331034379,offdiag_2,5454.545454545455
s(gam_age_offdiag_2),-82.76246919144242,8.43066641667348,offdiag_2,5555.555555555556
s(gam_age_offdiag_2),-84.84078911053734,8.642309916811671,offdiag_2,5656.565656565656
s(gam_age_offdiag_2),-86.9191090439854,8.853953848740188,offdiag_2,5757.575757575758
s(gam_age_offdiag_2),-88.99742888382394,9.065598219448928,offdiag_2,5858.585858585859
s(gam_age_offdiag_2),-91.07574851188743,9.27724302557643,offdiag_2,5959.595959595959
